班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
1	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
2	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
3	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
4	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
5	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
6	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
7	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
8	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
9	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
10	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
11	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
12	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
13	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
14	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
15	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
16	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
17	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
18	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
19	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
20	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
21	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
22	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
23	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
24	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
25	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
26	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
27	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
28	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
29	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
30	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
31	应用基础	19	90.21	副教授	外国语学院	2009-2010	春季学期	77.918918	9
32	专业选修	19	93.95	教授	国学院	2009-2010	春季学期	84.685714	10
33	专业选修	34	93.91	副教授	经济学院	2009-2010	春季学期	86.528301	11
34	专业选修	27	94.85	副教授	经济学院	2009-2010	春季学期	84.787234	11
35	专业必修	5	94.8	副教授	财政金融学院	2009-2010	春季学期	81.538461	12
36	学科基础	26	92.92	副教授	财政金融学院	2009-2010	春季学期	83.40625	13
37	学科基础	15	91.73	副教授	财政金融学院	2009-2010	春季学期	85	14
38	专业选修	12	94	教授	农业与农村发展学院	2009-2010	春季学期	84.8	15
39	专业选修	11	91.64	教授	商学院	2009-2010	春季学期	84.844444	16
40	学科基础	17	89.82	讲师	商学院	2009-2010	春季学期	69.910714	17
41	学科基础	27	91.22	副教授	商学院	2009-2010	春季学期	79.557377	18
42	学科基础	23	81.96	讲师	商学院	2009-2010	春季学期	78.721311	19
43	学科基础	24	93.33	副教授	商学院	2009-2010	春季学期	79.393442	20
44	学科基础	31	91.29	副教授	商学院	2009-2010	春季学期	80.606557	21
45	学科基础	20	90.95	讲师	商学院	2009-2010	春季学期	69.983333	22
46	学科基础	30	93.13	副教授	商学院	2009-2010	春季学期	77.016393	23
47	专业必修	17	89.41	教授	商学院	2009-2010	春季学期	78.347826	24
48	专业必修	18	92.06	教授	商学院	2009-2010	春季学期	74.074074	25
49	专业必修	20	93.1	教授	商学院	2009-2010	春季学期	78.982758	26
50	专业必修	15	93.27	教授	商学院	2009-2010	春季学期	78.897959	27
51	学科基础	68	91.91	讲师	财政金融学院	2009-2010	春季学期	80.314516	28
52	学科基础	7	92.43	副教授	财政金融学院	2009-2010	春季学期	79	29
53	专业选修	18	89.28	副教授	商学院	2009-2010	春季学期	84.756756	30
54	专业选修	31	90.87	副教授	经济学院	2009-2010	春季学期	80.673913	31
55	专业选修	27	92.22	副教授	经济学院	2009-2010	春季学期	83.106382	31
56	专业选修	13	93.23	讲师	商学院	2009-2010	春季学期	#N/A	32
57	专业选修	16	92.31	副教授	公共管理学院	2009-2010	春季学期	89.5625	33
58	学科基础	37	90.68	副教授	信息学院	2009-2010	春季学期	71.716666	34
59	学科基础	22	85.5	讲师	信息学院	2009-2010	春季学期	75.74	35
60	学科基础	32	85.91	副教授	信息学院	2009-2010	春季学期	#N/A	36
61	全校选修	18	92.17	副教授	商学院	2009-2010	春季学期	#N/A	37
62	全校选修	9	90.33	副教授	商学院	2009-2010	春季学期	68.962962	38
63	全校选修	37	79.97	副教授	国际关系学院	2009-2010	春季学期	#N/A	39
64	学科基础	54	87.96	讲师	物理学系	2009-2010	春季学期	75.663157	40
65	学科基础	58	84.33	讲师	物理学系	2009-2010	春季学期	#N/A	41
66	专业选修	32	90.78	教授	经济学院	2009-2010	春季学期	76.842105	42
67	专业选修	5	91	教授	经济学院	2009-2010	春季学期	76.842105	43
68	专业选修	10	93.3	副教授	马克思主义学院	2009-2010	春季学期	#N/A	44
69	专业必修	35	93.6	教授	经济学院	2009-2010	春季学期	#N/A	45
70	专业必修	11	94.18	教授	经济学院	2009-2010	春季学期	#N/A	46
71	学科基础	37	91.78	教授	国际关系学院	2009-2010	春季学期	#N/A	47
72	学科基础	23	88.13		国际关系学院	2009-2010	春季学期	#N/A	48
73	专业必修	18	92.28	副教授	信息资源管理学院	2009-2010	春季学期	88	49
74	专业必修	19	90.84	教授	信息资源管理学院	2009-2010	春季学期	88.423076	50
75	专业必修	18	93.56	副教授	信息资源管理学院	2009-2010	春季学期	77.964285	51
76	专业必修	39	93.95	教授	国际关系学院	2009-2010	春季学期	83.083333	52
77	专业必修	36	91.94	教授	统计学院	2009-2010	春季学期	83.463768	53
78	专业选修	12	88.33	副教授	国际关系学院	2009-2010	春季学期	73.34375	54
79	专业必修	67	92.51	副教授	经济学院	2009-2010	春季学期	81.842105	55
80	学科基础	3	93.33	教授	农业与农村发展学院	2009-2010	春季学期	81.257142	56
81	学科基础	25	92.56	副教授	农业与农村发展学院	2009-2010	春季学期	81.257142	57
82	学科基础	4	83	教授	农业与农村发展学院	2009-2010	春季学期	79.333333	56
83	学科基础	15	89.13	副教授	农业与农村发展学院	2009-2010	春季学期	79.333333	57
84	专业必修	30	85.67	教授	劳动人事学院	2009-2010	春季学期	87.204081	58
85	专业必修	11	94.82	教授	法学院	2009-2010	春季学期	60.5	59
86	专业选修	92	92.51	副教授	法学院	2009-2010	春季学期	86.688073	60
87	专业选修	32	92.63	副教授	经济学院	2009-2010	春季学期	83.32653	61
88	专业选修	13	92.15	讲师	商学院	2009-2010	春季学期	69.857142	32
89	专业选修	38	93.08	副教授	财政金融学院	2009-2010	春季学期	86.466666	13
90	专业选修	24	89.38	讲师	哲学院	2009-2010	春季学期	85.805555	62
91	学科基础	71	90.82	教授	信息学院	2009-2010	春季学期	68.95	63
92	学科基础	43	91.86	讲师	信息学院	2009-2010	春季学期	81.730769	64
93	学科基础	32	92.97	讲师	信息学院	2009-2010	春季学期	81.757142	65
94	学科基础	30	94.33	讲师	信息学院	2009-2010	春季学期	85.703703	64
95	专业必修	6	93.67	教授	商学院	2009-2010	春季学期	81.333333	66
96	专业必修	8	91.63	教授	商学院	2009-2010	春季学期	81.333333	67
97	专业必修	10	90.9	副教授	社会与人口学院	2009-2010	春季学期	86.142857	68
98	学科基础	31	86.97	教授	公共管理学院	2009-2010	春季学期	84.066666	69
99	专业选修	36	91.25	教授	信息资源管理学院	2009-2010	春季学期	86.607142	70
100	专业必修	43	88.98	副教授	财政金融学院	2009-2010	春季学期	75.034482	71
101	专业必修	68	93.68	副教授	财政金融学院	2009-2010	春季学期	81.36923	72
102	专业必修	24	93.96	副教授	财政金融学院	2009-2010	春季学期	82.935483	72
103	专业必修	18	91.33	副教授	财政金融学院	2009-2010	春季学期	84.689655	73
104	学科基础	35	92.71	副教授	农业与农村发展学院	2009-2010	春季学期	80.333333	74
105	学科基础	12	91.5	副教授	农业与农村发展学院	2009-2010	春季学期	79.125	74
106	专业选修	36	94.28	讲师	经济学院	2009-2010	春季学期	86.216666	75
107	专业选修	33	93.94	讲师	经济学院	2009-2010	春季学期	86.688524	75
108	专业选修	12	92.25	副教授	统计学院	2009-2010	春季学期	76.777777	76
109	专业选修	16	87.56	副教授	商学院	2009-2010	春季学期	80.829787	77
110	专业选修	22	91.86	讲师	商学院	2009-2010	春季学期	83.714285	78
111	专业选修	27	90.89	讲师	商学院	2009-2010	春季学期	87.595238	78
112	专业选修	18	92.61	讲师	商学院	2009-2010	春季学期	85.069767	79
113	专业选修	28	92.96	副教授	商学院	2009-2010	春季学期	81.5	80
114	学科基础	17	91.94	教授	商学院	2009-2010	春季学期	81.44	81
115	学科基础	24	93.75	教授	商学院	2009-2010	春季学期	84.510638	82
116	学科基础	16	88.06	教授	商学院	2009-2010	春季学期	85.828571	83
117	学科基础	18	84.94	讲师	商学院	2009-2010	春季学期	86.2	84
118	学科基础	18	91.5	讲师	商学院	2009-2010	春季学期	84.085714	85
119	学科基础	11	87	讲师	商学院	2009-2010	春季学期	85	86
120	学科基础	21	93.1	副教授	商学院	2009-2010	春季学期	#N/A	87
121	学科基础	18	87.72	讲师	商学院	2009-2010	春季学期	79.489361	88
122	学科基础	29	92.79	讲师	商学院	2009-2010	春季学期	87	89
123	学科基础	19	94.16	讲师	商学院	2009-2010	春季学期	87.733333	90
124	学科基础	22	93.73	教授	商学院	2009-2010	春季学期	86.647058	91
125	学科基础	24	91.46	副教授	商学院	2009-2010	春季学期	87.1875	92
126	学科基础	45	89.11	教授	农业与农村发展学院	2009-2010	春季学期	86.828571	93
127	学科基础	2	94.5	讲师	公共管理学院	2009-2010	春季学期	87.633333	94
128	学科基础	10	94.4	副教授	公共管理学院	2009-2010	春季学期	87.633333	95
129	专业选修	7	93.14	副教授	新闻学院	2009-2010	春季学期	87.545454	96
130	专业必修	28	93.64	教授	新闻学院	2009-2010	春季学期	82.358974	97
131	专业必修	23	91	副教授	新闻学院	2009-2010	春季学期	77.75	98
132	专业选修	19	92.05	讲师	新闻学院	2009-2010	春季学期	84.833333	99
133	专业必修	23	90.96	教授	新闻学院	2009-2010	春季学期	87.789473	100
134	专业选修	6	94.67	副教授	商学院	2009-2010	春季学期	84.470588	101
135	专业选修	19	93.16	副教授	国际关系学院	2009-2010	春季学期	88.3	102
136	专业必修	14	90.93	教授	法学院	2009-2010	春季学期	82.842105	103
137	专业必修	26	91.23	教授	法学院	2009-2010	春季学期	82.842105	104
138	专业必修	19	91.37	副教授	法学院	2009-2010	春季学期	82.842105	105
139	专业必修	28	90.75	副教授	法学院	2009-2010	春季学期	83.303571	105
140	专业必修	22	88.23	教授	法学院	2009-2010	春季学期	83.303571	104
141	专业必修	14	91.93	教授	法学院	2009-2010	春季学期	83.303571	103
142	专业必修	30	93.07	教授	法学院	2009-2010	春季学期	83.955056	103
143	专业必修	40	91.43	教授	法学院	2009-2010	春季学期	83.955056	104
144	专业必修	34	89.97	副教授	法学院	2009-2010	春季学期	83.955056	105
145	学科基础	38	90.4	副教授	国际关系学院	2009-2010	春季学期	84.607843	2
146	学科基础	32	90.66	副教授	国际关系学院	2009-2010	春季学期	78.315789	106
147	学科基础	26	89.73	副教授	国际关系学院	2009-2010	春季学期	73.346938	107
148	学科基础	24	92.21	副教授	国际关系学院	2009-2010	春季学期	69.083333	7
149	专业选修	65	94.35	副教授	财政金融学院	2009-2010	春季学期	84.822033	108
150	专业选修	104	94.4	副教授	财政金融学院	2009-2010	春季学期	85.497142	108
151	专业必修	13	93.77	教授	财政金融学院	2009-2010	春季学期	81.90909	109
152	专业必修	64	90.78	副教授	经济学院	2009-2010	春季学期	79.436974	110
153	专业必修	77	86.79	副教授	经济学院	2009-2010	春季学期	75.153846	110
154	学科基础	37	91.65	教授	经济学院	2009-2010	春季学期	81	111
155	学科基础	12	90.83	副教授	经济学院	2009-2010	春季学期	70.020408	112
156	专业选修	19	93.21	讲师	经济学院	2009-2010	春季学期	83.81081	113
157	专业选修	27	86.04	副教授	经济学院	2009-2010	春季学期	81.97826	114
158	专业选修	62	89.57	副教授	经济学院	2009-2010	春季学期	86.173913	115
159	专业选修	18	86.89	副教授	经济学院	2009-2010	春季学期	83.18	115
160	专业选修	17	92.59	副教授	经济学院	2009-2010	春季学期	72.862745	112
161	专业选修	25	94.12	教授	经济学院	2009-2010	春季学期	80.805555	116
162	专业必修	39	89.26	副教授	经济学院	2009-2010	春季学期	80.5	117
163	专业必修	37	85.76	副教授	经济学院	2009-2010	春季学期	83.523809	114
164	专业必修	19	92.63	教授	商学院	2009-2010	春季学期	83.945945	118
165	专业选修	8	94.38	教授	财政金融学院	2009-2010	春季学期	81.074074	119
166	专业必修	151	93.07	副教授	法学院	2009-2010	春季学期	76.507462	120
167	专业选修	10	93.2	教授	商学院	2009-2010	春季学期	82.025641	121
168	学科基础	62	91.81	教授	国际关系学院	2009-2010	春季学期	81.384	122
169	学科基础	24	89.21	副教授	国际关系学院	2009-2010	春季学期	76.536585	123
170	专业必修	44	94.66	教授	统计学院	2009-2010	春季学期	77.276315	124
171	专业选修	15	94	副教授	经济学院	2009-2010	春季学期	85.714285	125
172	专业选修	13	93.62	教授	商学院	2009-2010	春季学期	76.674418	126
173	专业选修	20	92	副教授	商学院	2009-2010	春季学期	76.674418	127
174	专业选修	15	88	副教授	环境学院	2009-2010	春季学期	82.72093	128
175	专业选修	10	92	讲师	社会与人口学院	2009-2010	春季学期	84.206896	129
176	专业选修	15	93.07	讲师	环境学院	2009-2010	春季学期	79.411764	130
177	专业选修	10	90.4	讲师	经济学院	2009-2010	春季学期	89.67647	131
178	学科基础	16	92.56	讲师	环境学院	2009-2010	春季学期	83	132
179	学科基础	28	89.43	教授	商学院	2009-2010	春季学期	71.660377	133
180	学科基础	31	92.1	副教授	商学院	2009-2010	春季学期	80.066666	134
181	学科基础	45	93.85	副教授	商学院	2009-2010	春季学期	73.266666	135
182	学科基础	38	91.47	副教授	商学院	2009-2010	春季学期	64.666666	136
183	学科基础	37	92.49	教授	商学院	2009-2010	春季学期	69.78	137
184	学科基础	39	86.74	副教授	商学院	2009-2010	春季学期	68.714285	138
185	专业必修	11	93.73	副教授	法学院	2009-2010	春季学期	64.517241	139
186	学科基础	34	90.27	教授	新闻学院	2009-2010	春季学期	83.117647	140
187	学科基础	26	94.35	教授	新闻学院	2009-2010	春季学期	83.416666	141
188	学科基础	31	92.36	讲师	新闻学院	2009-2010	春季学期	85.608695	142
189	学科基础	36	89.36	副教授	新闻学院	2009-2010	春季学期	87.369565	143
190	学科基础	21	93.24	教授	经济学院	2009-2010	春季学期	73.015625	144
191	学科基础	3	95	副教授	经济学院	2009-2010	春季学期	73.015625	145
192	学科基础	8	93	副教授	经济学院	2009-2010	春季学期	81.227272	146
193	专业选修	26	93.54	讲师	商学院	2009-2010	春季学期	85.895833	17
194	专业选修	37	89.08	讲师	商学院	2009-2010	春季学期	85.333333	147
195	专业选修	32	90.25	讲师	商学院	2009-2010	春季学期	80.55102	147
196	专业选修	11	88.91	教授	商学院	2009-2010	春季学期	83.377777	148
197	专业必修	17	90.24	教授	财政金融学院	2009-2010	春季学期	85.592592	149
198	专业选修	37	89.43	副教授	财政金融学院	2009-2010	春季学期	76.055555	150
199	专业必修	20	89.5	副教授	法学院	2009-2010	春季学期	73.755102	151
200	专业必修	11	87.55	副教授	法学院	2009-2010	春季学期	73.755102	152
201	学科基础	36	86.69	副研究员（教学科研类）	公共管理学院	2009-2010	春季学期	71.322033	153
202	学科基础	8	79.38	讲师	公共管理学院	2009-2010	春季学期	71.322033	154
203	学科基础	2	90.5	教授	公共管理学院	2009-2010	春季学期	71.322033	155
204	学科基础	12	86.75	副教授	经济学院	2009-2010	春季学期	74.316666	145
205	学科基础	31	87.07	副教授	经济学院	2009-2010	春季学期	74.316666	156
206	学科基础	26	91.69	副教授	历史学院	2009-2010	春季学期	75.25	157
207	专业必修	7	89.71	教授	法学院	2009-2010	春季学期	63.241379	158
208	专业必修	4	85.5	副教授	法学院	2009-2010	春季学期	63.241379	159
209	专业必修	19	92.21	讲师	劳动人事学院	2009-2010	春季学期	84.857142	160
210	专业必修	17	92.77	副教授	劳动人事学院	2009-2010	春季学期	87.583333	161
211	专业必修	61	90.87	副教授	经济学院	2009-2010	春季学期	85.858695	162
212	学科基础	27	92.15	副教授	劳动人事学院	2009-2010	春季学期	83.591836	163
213	学科基础	27	93.48	教授	劳动人事学院	2009-2010	春季学期	77.617021	164
214	专业选修	27	92.78	教授	劳动人事学院	2009-2010	春季学期	86.533333	165
215	专业选修	15	92.87	教授	劳动人事学院	2009-2010	春季学期	83.575	165
216	专业必修	12	90.92	教授	商学院	2009-2010	春季学期	88.333333	166
217	专业选修	53	91.19	教授	法学院	2009-2010	春季学期	78.246376	167
218	专业选修	8	88.63	副教授	农业与农村发展学院	2009-2010	春季学期	85.6	168
219	专业选修	23	93.52	副教授	商学院	2009-2010	春季学期	75.431818	169
220	专业选修	18	92.44	教授	哲学院	2009-2010	春季学期	87.043478	170
221	专业必修	25	92.84	教授	商学院	2009-2010	春季学期	80.972972	171
222	专业选修	6	92.67	教授	国际关系学院	2009-2010	春季学期	86.545454	172
223	学科基础	16	92.13	副教授	信息学院	2009-2010	春季学期	78.363636	173
224	专业必修	19	93.32	副教授	法学院	2009-2010	春季学期	81.436363	174
225	专业必修	17	89.71		法学院	2009-2010	春季学期	81.436363	175
226	专业必修	29	92.66	教授	法学院	2009-2010	春季学期	81.436363	176
227	专业必修	18	92.17	教授	法学院	2009-2010	春季学期	77.283333	177
228	专业必修	43	92.51	讲师	法学院	2009-2010	春季学期	77.283333	178
229	专业必修	34	94.18	副教授	法学院	2009-2010	春季学期	81.482142	179
230	专业必修	27	94.67	教授	法学院	2009-2010	春季学期	81.482142	180
231	专业必修	33	93.46	教授	法学院	2009-2010	春季学期	77.861111	181
232	专业必修	1	85	讲师	法学院	2009-2010	春季学期	68.485714	182
233	专业必修	5	83.8			2009-2010	春季学期	68.485714	#N/A
234	专业必修	12	85	教授	法学院	2009-2010	春季学期	68.485714	183
235	专业选修	15	85.33	副教授	农业与农村发展学院	2009-2010	春季学期	88.315789	184
236	专业选修	10	89.2	教授	农业与农村发展学院	2009-2010	春季学期	84.75	185
237	专业选修	13	89.69	副教授	社会与人口学院	2009-2010	春季学期	80.644067	186
238	专业选修	11	93	讲师	农业与农村发展学院	2009-2010	春季学期	87	187
239	专业必修	1	35	副教授	法学院	2009-2010	春季学期	79.875	188
240	专业选修	76	91.59	教授	法学院	2009-2010	春季学期	82.175257	189
241	学科基础	26	93.96	副教授	社会与人口学院	2009-2010	春季学期	85.4	190
242	学科基础	25	92.64	副教授	社会与人口学院	2009-2010	春季学期	76.056603	191
243	学科基础	30	90.4	教授	商学院	2009-2010	春季学期	83.271428	192
244	学科基础	23	93.04	副教授	商学院	2009-2010	春季学期	84.111111	193
245	学科基础	27	91.11	副教授	商学院	2009-2010	春季学期	85.939393	194
246	学科基础	23	92.35	讲师	商学院	2009-2010	春季学期	83.273972	90
247	专业必修	10	84.9	副教授	外国语学院	2009-2010	春季学期	73.678571	195
248	专业选修	37	91.32	教授	国际关系学院	2009-2010	春季学期	78.692307	196
249	学科基础	10	94.3	副教授	外国语学院	2009-2010	春季学期	74.821428	197
250	专业必修	64	92.95	教授	法学院	2009-2010	春季学期	82.727272	198
251	专业必修	48	92.75	副教授	法学院	2009-2010	春季学期	78.410714	199
252	专业必修	40	89.88	副教授	法学院	2009-2010	春季学期	78.666666	188
253	全校选修	12	89.67	讲师	商学院	2009-2010	春季学期	78.1875	200
254	专业选修	11	90.46	教授	商学院	2009-2010	春季学期	83.84	201
255	专业必修	18	90.22	副教授	劳动人事学院	2009-2010	春季学期	82.59375	202
256	学科基础	34	89.88	副教授	社会与人口学院	2009-2010	春季学期	86.212765	203
257	专业选修	34	92.29	讲师	国际关系学院	2009-2010	春季学期	88.244897	204
258	专业选修	34	89.56	讲师	劳动人事学院	2009-2010	春季学期	84.5	205
259	专业选修	38	74.95	副教授	社会与人口学院	2009-2010	春季学期	80.622641	206
260	专业必修	6	90.17	副教授	社会与人口学院	2009-2010	春季学期	77.166666	207
261	专业选修	14	92.07	讲师	信息学院	2009-2010	春季学期	82.142857	208
262	全校选修	9	91.67	讲师	社会与人口学院	2009-2010	春季学期	83.208333	129
263	专业选修	4	95	副教授	环境学院	2009-2010	春季学期	84.266666	209
264	专业必修	31	89.1	副教授	环境学院	2009-2010	春季学期	83.404255	209
265	全校选修	11	92.46	教授	社会与人口学院	2009-2010	春季学期	80.291666	210
266	专业选修	11	87.73	教授	农业与农村发展学院	2009-2010	春季学期	86.357142	211
267	专业必修	27	90.67	教授	历史学院	2009-2010	春季学期	81.305555	212
268	学科基础	40	92.88	教授	经济学院	2009-2010	春季学期	85.018867	213
269	学科基础	37	94.05	教授	经济学院	2009-2010	春季学期	82.677966	213
270	专业必修	32	91.78	副教授	历史学院	2009-2010	春季学期	79.642857	214
271	专业必修	10	94	讲师	商学院	2009-2010	春季学期	86.214285	215
272	专业选修	25	91.52	讲师	商学院	2009-2010	春季学期	81.276595	216
273	专业选修	25	90.08	副教授	商学院	2009-2010	春季学期	84.195652	217
274	专业选修	20	94.05	副教授	经济学院	2009-2010	春季学期	87.113207	218
275	学科基础	7	89.86	讲师	商学院	2009-2010	春季学期	78.916666	219
276	学科基础	9	90.45	副教授	商学院	2009-2010	春季学期	83.8	220
277	专业必修	32	93.66	讲师	统计学院	2009-2010	春季学期	83.813953	221
278	专业必修	4	95	教授	信息学院	2009-2010	春季学期	75.150943	222
279	专业必修	25	94.24	教授	信息学院	2009-2010	春季学期	75.150943	223
280	专业必修	46	81.65	副教授	哲学院	2009-2010	春季学期	78.977011	224
281	学科基础	10	91.6	教授	信息学院	2009-2010	春季学期	74.840579	225
282	学科基础	29	93.48	副教授	信息学院	2009-2010	春季学期	74.840579	226
283	学科基础	41	91.12	教授	信息学院	2009-2010	春季学期	72.792682	227
284	学科基础	30	91.43	教授	信息学院	2009-2010	春季学期	84.843137	228
285	专业必修	68	92.99	讲师	信息学院	2009-2010	春季学期	75.80851	229
286	专业选修	54	90.83	二级律师	法学院	2009-2010	春季学期	77.8	91
287	学科基础	24	87.63	副教授	劳动人事学院	2009-2010	春季学期	79.787234	230
288	学科基础	25	86.52	讲师	劳动人事学院	2009-2010	春季学期	78.511111	231
289	学科基础	25	87.4	讲师	公共管理学院	2009-2010	春季学期	69.777777	232
290	学科基础	18	89.33	副教授	统计学院	2009-2010	春季学期	68.444444	233
291	学科基础	19	94.26	副教授	统计学院	2009-2010	春季学期	79.947368	234
292	学科基础	18	89.22	讲师	统计学院	2009-2010	春季学期	84.446808	235
293	学科基础	19	93.16	副教授	统计学院	2009-2010	春季学期	83.659574	234
294	学科基础	16	92.44	副教授	统计学院	2009-2010	春季学期	80.058823	234
295	学科基础	19	92.05	讲师	统计学院	2009-2010	春季学期	79.962264	221
296	学科基础	28	89.5	副教授	统计学院	2009-2010	春季学期	84.761904	233
297	学科基础	18	88.17	副教授	统计学院	2009-2010	春季学期	83.428571	236
298	部类共同	19	93.21	副教授	统计学院	2009-2010	春季学期	82.960784	233
299	专业选修	11	92.09	讲师	农业与农村发展学院	2009-2010	春季学期	81.666666	237
300	专业选修	17	92.12	副教授	公共管理学院	2009-2010	春季学期	86.757575	95
301	专业选修	19	91.37	副教授	信息资源管理学院	2009-2010	春季学期	84.227272	238
302	专业必修	8	87.88	副教授	法学院	2009-2010	春季学期	63.620689	159
303	专业必修	4	92	教授	法学院	2009-2010	春季学期	63.620689	239
304	专业选修	9	92.45	讲师	商学院	2009-2010	春季学期	84.108108	240
305	专业选修	15	89.13		外国语学院	2009-2010	春季学期	87.928571	241
306	专业选修	18	90.17		外国语学院	2009-2010	春季学期	87.785714	242
307	全校选修	3	95	副教授	新闻学院	2009-2010	春季学期	55	243
308	学科基础	77	85.18	副教授	经济学院	2009-2010	春季学期	65.936781	244
309	学科基础	72	78.18	副教授	经济学院	2009-2010	春季学期	71.62234	245
310	学科基础	22	93.05	讲师	商学院	2009-2010	春季学期	87.17647	89
311	专业必修	18	93.44	副教授	信息资源管理学院	2009-2010	春季学期	84.227272	246
312	专业选修	15	87.4	副教授	信息资源管理学院	2009-2010	春季学期	87.435897	247
313	专业选修	24	91.54	讲师	信息学院	2009-2010	春季学期	81.461538	248
314	专业选修	13	93.54	副教授	商学院	2009-2010	春季学期	77.6875	249
315	专业选修	90	91.06	副教授	法学院	2009-2010	春季学期	84.547826	250
316	学科基础	36	92.22	讲师	劳动人事学院	2009-2010	春季学期	74.1	251
317	学科基础	36	83.78	讲师	劳动人事学院	2009-2010	春季学期	81.96	231
318	专业选修	9	93	教授	哲学院	2009-2010	春季学期	85.538461	252
319	专业选修	13	92.92	副教授	哲学院	2009-2010	春季学期	82.590909	253
320	专业选修	11	90.46	副教授	商学院	2009-2010	春季学期	81.423076	254
321	专业必修	21	92.29	教授	商学院	2009-2010	春季学期	73.571428	255
322	专业必修	20	93.95	教授	新闻学院	2009-2010	春季学期	82.490196	256
323	专业必修	20	92.15	讲师	新闻学院	2009-2010	春季学期	81.146341	257
324	专业选修	28	93.29	讲师	新闻学院	2009-2010	春季学期	81.743589	257
325	专业必修	21	91.33	副教授	新闻学院	2009-2010	春季学期	81.967741	258
326	专业选修	19	90.05	副教授	新闻学院	2009-2010	春季学期	78.806451	258
327	学科基础	23	91.74	教授	新闻学院	2009-2010	春季学期	80.529411	259
328	学科基础	25	91.68	讲师	新闻学院	2009-2010	春季学期	74.227272	260
329	学科基础	21	92.76	讲师	新闻学院	2009-2010	春季学期	84.32653	260
330	学科基础	20	93.65	研究员（教学科研类）	新闻学院	2009-2010	春季学期	78.930232	261
331	学科基础	31	88.39	教授	新闻学院	2009-2010	春季学期	74.068181	262
332	学科基础	32	88.47	教授	新闻学院	2009-2010	春季学期	81.066666	262
333	专业必修	22	90.36	讲师	新闻学院	2009-2010	春季学期	80.911111	263
334	专业必修	21	94.67	副教授	新闻学院	2009-2010	春季学期	83.354838	264
335	专业必修	16	94.69	副教授	新闻学院	2009-2010	春季学期	82.342105	264
336	专业选修	63	93.98	教授	经济学院	2009-2010	春季学期	85.106796	265
337	专业必修	40	93.9	副教授	劳动人事学院	2009-2010	春季学期	87.241379	266
338	专业必修	27	92.82	教授	劳动人事学院	2009-2010	春季学期	86.734693	267
339	专业必修	6	90.33	副教授	信息资源管理学院	2009-2010	春季学期	74.045454	268
340	专业必修	9	90.22	副教授	信息资源管理学院	2009-2010	春季学期	82.25	268
341	专业必修	32	93.91	教授	法学院	2009-2010	春季学期	79.70909	269
342	专业必修	26	94.04	教授	法学院	2009-2010	春季学期	79.70909	270
343	专业必修	38	93.5	副教授	法学院	2009-2010	春季学期	80.785714	271
344	专业必修	22	92.82	教授	法学院	2009-2010	春季学期	80.785714	272
345	专业必修	34	93.21	教授	法学院	2009-2010	春季学期	78.525423	273
346	专业必修	29	93.62	副教授	法学院	2009-2010	春季学期	78.525423	274
