班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
23708	通识教育大讲堂	7	98.39	教授	化学系	2014-2015	秋季学期	87.857142	1252
23709	理工类	22	95.53	副教授	环境学院	2014-2015	秋季学期	85.366666	1463
23710	理工类	35	99.44	副教授	环境学院	2014-2015	秋季学期	83.725	1788
23711	理工类	36	99.83	副教授	环境学院	2014-2015	秋季学期	87.9	1788
23712	理工类	18	96.38	讲师	环境学院	2014-2015	秋季学期	76.846153	1658
23713	人文艺术类	28	98.55	讲师	清史所	2014-2015	秋季学期	83.513513	1842
23714	专业选修	23	98.24	副教授	经济学院	2014-2015	秋季学期	85.142857	416
23715	原典选读类	9	87	副教授	国际关系学院	2014-2015	秋季学期	61.76923	354
23716	原典选读类	5	94.9	讲师	国际关系学院	2014-2015	秋季学期	73.4	1215
23717	原典选读类	7	95.61	副教授	国际关系学院	2014-2015	秋季学期	72.066666	1142
23718	原典选读类	146	97.54	副教授	哲学院	2014-2015	秋季学期	87.598984	1296
23719	专业选修	18	97.71	教授	物理学系	2014-2015	秋季学期	84.65	1857
23720	专业选修	7	84.14	副教授	社会与人口学院	2014-2015	秋季学期	86.071428	65
23721	专业必修	36	94.67	教授	物理学系	2014-2015	秋季学期	79.113207	667
23722	学科基础	5	99.1	副教授	历史学院	2014-2015	秋季学期	83.125	214
23723	学科基础	6	100	教授	历史学院	2014-2015	秋季学期	86.333333	442
23724	专业选修	30	98.63	副教授	外国语学院	2014-2015	秋季学期	86.842105	451
23725	学科基础	11	100		外国语学院	2014-2015	秋季学期	82.076923	1993
23726	学科基础	17	99.74		外国语学院	2014-2015	秋季学期	82.590909	1993
23727	学科基础	36	88.6	讲师	经济学院	2014-2015	秋季学期	83.534883	1652
23728	专业选修	28	95.26	教授	新闻学院	2014-2015	秋季学期	81.617647	97
23729	专业必修	21	94.36	教授	新闻学院	2014-2015	秋季学期	76.407407	97
23730	学科基础	16	100	教授	外国语学院	2014-2015	秋季学期	83.411764	1259
23731	学科基础	18	99.46	副教授	外国语学院	2014-2015	秋季学期	82	717
23732	专业选修	5	96.1	副教授	外国语学院	2014-2015	秋季学期	87.666666	195
23733	专业必修	12	98.69	教授	外国语学院	2014-2015	秋季学期	67.714285	487
23734	专业必修	11	95.23	讲师	外国语学院	2014-2015	秋季学期	73.266666	1476
23735	学科基础	16	96.91	讲师	外国语学院	2014-2015	秋季学期	83.45	861
23736	学科基础	10	92.73	教授	经济学院	2014-2015	秋季学期	78.142857	146
23737	专业必修	44	99.17	副教授	经济学院	2014-2015	秋季学期	86.120689	125
23738	专业必修	38	92.18		国际学院	2014-2015	秋季学期	85.06	1961
23739	通识教育大讲堂	22	95.98	副教授	化学系	2014-2015	秋季学期	87.5	893
23740	人文艺术类	36	97.48	讲师	清史所	2014-2015	秋季学期	86.243902	1842
23741	专业必修	13	96.54	教授	信息资源管理学院	2014-2015	秋季学期	87.6	1350
23742	全校共同课	13	94.35	教授	信息资源管理学院	2014-2015	秋季学期	88.125	1350
23743	全校共同课	14	91.38	教授	信息资源管理学院	2014-2015	秋季学期	87.142857	1350
23744	全校共同课	14	93.52	教授	信息资源管理学院	2014-2015	秋季学期	85.75	1350
23745	法政类	17	96.65	副教授	法学院	2014-2015	秋季学期	88.944444	1724
23746	理工类	6	92.25	讲师	信息学院	2014-2015	秋季学期	87	1868
23747	专业必修	18	95.67	副教授	公共管理学院	2014-2015	秋季学期	89	978
23748	专业选修	28	92.1	讲师	商学院	2014-2015	秋季学期	78.760869	1116
23749	专业选修	14	95.55	讲师	公共管理学院	2014-2015	秋季学期	77.833333	389
23750	专业选修	14	95.02	副教授	公共管理学院	2014-2015	秋季学期	77.833333	1732
23751		25	97.75	副教授	公共管理学院	2014-2015	秋季学期	87.03125	1732
23752	专业选修	25	96.88	讲师	公共管理学院	2014-2015	秋季学期	87.03125	389
23753	全校共同课	23	96.22	讲师	外国语学院	2014-2015	秋季学期	88.966666	1845
23754	全校共同课	25	99.04	讲师	外国语学院	2014-2015	秋季学期	82.766666	1845
23755	公共艺术教育	9	98	副教授	外国语学院	2014-2015	秋季学期	86.8	1234
23756	全校共同课	24	98.47	讲师	外国语学院	2014-2015	秋季学期	74.838709	824
23757	全校共同课	19	97.28	讲师	外国语学院	2014-2015	秋季学期	73.142857	2046
23758	全校共同课	22	92.77	讲师	外国语学院	2014-2015	秋季学期	76.896551	829
23759	全校共同课	21	92.82	副教授	外国语学院	2014-2015	秋季学期	77.935483	864
23760	全校共同课	24	99.56	副教授	外国语学院	2014-2015	秋季学期	79.935483	823
23761	全校共同课	22	87.56	副教授	外国语学院	2014-2015	秋季学期	79.096774	822
23762	全校共同课	31	93.35	讲师	外国语学院	2014-2015	秋季学期	75.4	824
23763	全校共同课	28	94.11	讲师	外国语学院	2014-2015	秋季学期	80.657142	2046
23764	全校共同课	32	99.53	副教授	外国语学院	2014-2015	秋季学期	77.305555	823
23765	全校共同课	24	92.66	副教授	外国语学院	2014-2015	秋季学期	78.862068	822
23766	全校共同课	26	91.2	讲师	外国语学院	2014-2015	秋季学期	76.470588	824
23767	全校共同课	25	95.26	讲师	外国语学院	2014-2015	秋季学期	74.828571	2046
23768	全校共同课	19	88.08	讲师	外国语学院	2014-2015	秋季学期	65.24	829
23769	全校共同课	29	93.51	副教授	外国语学院	2014-2015	秋季学期	79.8	864
23770	全校共同课	24	90.59	讲师	外国语学院	2014-2015	秋季学期	76.294117	829
23771	全校共同课	28	97.91	副教授	外国语学院	2014-2015	秋季学期	80.228571	864
23772	全校共同课	20	91.45	副教授	外国语学院	2014-2015	秋季学期	79.382352	822
23773	全校共同课	27	98.58	副教授	外国语学院	2014-2015	秋季学期	78.885714	823
23774	全校共同课	23	97.72	讲师	外国语学院	2014-2015	秋季学期	75.7	824
23775	全校共同课	16	98.22	讲师	外国语学院	2014-2015	秋季学期	68.714285	2046
23776	全校共同课	22	94	讲师	外国语学院	2014-2015	秋季学期	81.75	829
23777	全校共同课	20	95.91	副教授	外国语学院	2014-2015	秋季学期	76.387096	864
23778	全校共同课	24	99.75	副教授	外国语学院	2014-2015	秋季学期	83.1	823
23779	全校共同课	25	89.05	副教授	外国语学院	2014-2015	秋季学期	78.032258	822
23780	全校共同课	27	93.17	讲师	外国语学院	2014-2015	秋季学期	77.787878	824
23781	全校共同课	30	93.78	讲师	外国语学院	2014-2015	秋季学期	79.085714	2046
23782	全校共同课	30	99.2	副教授	外国语学院	2014-2015	秋季学期	81.527777	823
23783	全校共同课	27	91.94	副教授	外国语学院	2014-2015	秋季学期	78.612903	822
23784	全校共同课	27	92.58	讲师	外国语学院	2014-2015	秋季学期	72.142857	824
23785	全校共同课	26	94.09	讲师	外国语学院	2014-2015	秋季学期	77.628571	2046
23786	全校共同课	19	89.86	讲师	外国语学院	2014-2015	秋季学期	67.16	829
23787	全校共同课	28	93.84	副教授	外国语学院	2014-2015	秋季学期	79.942857	864
23788	全校共同课	20	91.64	讲师	外国语学院	2014-2015	秋季学期	75.6	829
23789	全校共同课	28	96.73	副教授	外国语学院	2014-2015	秋季学期	76.628571	864
23790	全校共同课	21	91.29	副教授	外国语学院	2014-2015	秋季学期	77.5	822
23791	全校共同课	25	98.71	副教授	外国语学院	2014-2015	秋季学期	83.685714	823
23792	全校共同课	21	90.54	讲师	外国语学院	2014-2015	秋季学期	65.444444	826
23793	全校共同课	27	93.83	讲师	外国语学院	2014-2015	秋季学期	80.628571	837
23794	全校共同课	32	92.95	讲师	外国语学院	2014-2015	秋季学期	69.268292	826
23795	全校共同课	30	91.35	讲师	外国语学院	2014-2015	秋季学期	75.743589	837
23796	全校共同课	20	99.85	讲师	外国语学院	2014-2015	秋季学期	91.24	828
23797	全校共同课	20	99.93	讲师	外国语学院	2014-2015	秋季学期	90.307692	828
23798	全校共同课	21	98.96	讲师	外国语学院	2014-2015	秋季学期	90.37037	872
23799	全校共同课	23	99.87	讲师	外国语学院	2014-2015	秋季学期	90.407407	872
23800	全校共同课	29	95.53	讲师	外国语学院	2014-2015	秋季学期	63.529411	840
23801	全校共同课	27	97.58	讲师	外国语学院	2014-2015	秋季学期	70.90909	840
23802	全校共同课	27	96.45		外国语学院	2014-2015	秋季学期	71.419354	2047
23803	全校共同课	25	97.9		外国语学院	2014-2015	秋季学期	75.774193	2047
23804	全校共同课	29	97.23	副教授	外国语学院	2014-2015	秋季学期	86.382352	827
23805	全校共同课	31	97.36	讲师	外国语学院	2014-2015	秋季学期	87.75	2001
23806	全校共同课	22	93.56	讲师	外国语学院	2014-2015	秋季学期	84.545454	832
23807	全校共同课	27	99.67	讲师	外国语学院	2014-2015	秋季学期	87.411764	821
23808	全校共同课	29	96.38	讲师	外国语学院	2014-2015	秋季学期	86.323529	832
23809	全校共同课	28	96.84	副教授	外国语学院	2014-2015	秋季学期	85.294117	827
23810	全校共同课	30	97.63	讲师	外国语学院	2014-2015	秋季学期	86.571428	821
23811	全校共同课	27	96.72	讲师	外国语学院	2014-2015	秋季学期	81.129032	2001
23812	全校共同课	23	97.82	副教授	外国语学院	2014-2015	秋季学期	78.5	827
23813	全校共同课	33	99.5	讲师	外国语学院	2014-2015	秋季学期	88.378378	821
23814	全校共同课	28	95.66	讲师	外国语学院	2014-2015	秋季学期	84.216216	832
23815	全校共同课	27	96.86	讲师	外国语学院	2014-2015	秋季学期	84.861111	2001
23816	全校共同课	27	98.2	讲师	外国语学院	2014-2015	秋季学期	87.125	1845
23817	全校共同课	29	98.97	讲师	外国语学院	2014-2015	秋季学期	87.742857	1845
23818	专业选修	15	89.6	副教授	财政金融学院	2014-2015	秋季学期	76.9	490
23819	专业必修	13	98.5		艺术学院	2014-2015	秋季学期	#N/A	2048
23820	专业必修	13	93.94	讲师	艺术学院	2014-2015	秋季学期	#N/A	539
23821	管理类	12	98.25	副教授	农业与农村发展学院	2014-2015	秋季学期	88.666666	1682
23822	专业选修	20	99.7	副教授	经济学院	2014-2015	秋季学期	76.88	1713
23823	学科基础	32	89.22		国际学院	2014-2015	秋季学期	88.486486	2049
23824	全校共同课	26	96.91		国际学院	2014-2015	秋季学期	89.5	2038
23825	全校共同课	23	89.27		中法学院	2014-2015	秋季学期	80.307692	1014
23826	全校共同课	24	95.56		中法学院	2014-2015	秋季学期	92.571428	1015
23827	全校共同课	23	96.25		中法学院	2014-2015	秋季学期	77.851851	1014
23828	全校共同课	23	96.02		中法学院	2014-2015	秋季学期	96.259259	1015
23829	全校共同课	27	85.69		中法学院	2014-2015	秋季学期	91.727272	1015
23830	全校共同课	18	99.33		中法学院	2014-2015	秋季学期	89.96	1015
